n,region_name,Temp_crop,Area_1989,Area_1999,Area_2009,Area_2019,Area_freg,average_crop_area,perc_area
1,São Mamede Sé São Pedro e Santo Antão,Cereals,3297,266,0,0,113.15,890.75,7.872293416
2,Alvalade,Cereals,4188,4061,2758,2971,534.17,3494.5,6.541924855
3,Cristelo,Fodder plants,683,865,950,808,202.36,826.5,4.084305199
4,São João Baptista,Cereals,3379,1931,1387,677,456.05,1843.5,4.042319921
5,São Mamede Sé São Pedro e Santo Antão,Fodder plants,1489,78,0,4,113.15,392.75,3.47105612
6,Alvalade,Fodder plants,1292,806,1291,1264,534.17,1163.25,2.177677518
7,São Mamede Sé São Pedro e Santo Antão,Industrial crops,798,88,0,3,113.15,222.25,1.964206805
8,Espinho,Fodder plants,465,204,270,219,176.62,289.5,1.639112218
9,Duas Igrejas,Cereals,827,761,549,284,377.97,605.25,1.601317565
10,Pias,Cereals,2388,2279,1274,975,1112.11,1729,1.554702323
11,Odivelas,Cereals,819,981,774,464,504.45,759.5,1.505600159
12,Santo António,Fodder plants,51,244,311,281,149.43,221.75,1.483972429
13,Loureiro,Fodder plants,720,783,744,633,485.86,720,1.481908369
14,Santa Comba,Fodder plants,167,328,202,159,149.91,214,1.427523181
15,Santa Eulália,Cereals,1359,1399,300,33,564.05,772.75,1.370002659
16,Rio de Moinhos,Cereals,997,524,244,62,359.13,456.75,1.271823574
17,São Vicente,Cereals,335,281,245,114,198.58,243.75,1.227465002
18,Duas Igrejas,Fodder plants,244,663,284,645,377.97,459,1.214382094
19,São João Baptista,Fodder plants,562,801,321,411,456.05,523.75,1.148448635
20,Balazar,Fodder plants,1151,1290,1340,1407,1160.7,1297,1.117429138
21,Souto,Cereals,866,532,218,167,402.61,445.75,1.107150841
22,Pinheiro,Fodder plants,456,181,180,30,193.27,211.75,1.09561753
23,Carvalhal,Cereals,386,282,289,172,257.98,282.25,1.09407706
24,Covelas,Fodder plants,275,286,384,317,290.93,315.5,1.084453305
25,Macieira de Rates,Fodder plants,757,847,904,862,784.95,842.5,1.073316772
26,Cristelo,Fodder plants,683,865,950,808,771.48,826.5,1.071317468
27,Santa Cruz,Cereals,1429,721,877,310,788.2,834.25,1.058424258
28,Odivelas,Fodder plants,257,356,832,603,504.45,512,1.014966796
29,União das freguesias de Rio Mau e Arcos,Fodder plants,1225,1655,1818,1666,1569.69,1591,1.013575929
